drugbank_id	smpdb-id	name	drugs (placeholder)enzymes (placeholder to uniprot_id	
DB00001	SMP00278	Lepirudin Action Pathway	
DB00128	SMP00129	Malate-Aspartate Shuttle	
DB00128	SMP00492	Ureidopropionase deficiency	
DB00128	SMP00007	Beta-Alanine Metabolism	
DB00128	SMP00493	Carnosinuria, carnosinemia	
DB00128	SMP00351	GABA-Transaminase Deficiency	
DB00128	SMP00175	Canavan Disease	
DB00128	SMP00192	Hypoacetylaspartia	
DB00128	SMP00357	Argininemia	
DB00128	SMP00067	Aspartate Metabolism	
DB00128	SMP00003	Argininosuccinic Aciduria	
DB00128	SMP00002	Carbamoyl Phosphate Synthetase Deficiency	
DB00128	SMP00001	Citrullinemia Type I	
DB00128	SMP00009	Ammonia Recycling	
DB00128	SMP00059	Urea Cycle	
DB00128	SMP00205	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	
DB00128	SMP00361	Hyperprolinemia Type I	
DB00128	SMP00218	Tyrosinemia Type I	
DB00128	SMP00504	Creatine deficiency, guanidinoacetate methyltransferase deficiency	
DB00128	SMP00567	Succinic semialdehyde dehydrogenase deficiency	
DB00128	SMP00208	Prolinemia Type II	
DB00128	SMP00498	Dopamine beta-hydroxylase deficiency	
DB00128	SMP00505	Hyperornithinemia with gyrate atrophy (HOGA)	
DB00128	SMP00243	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	
DB00128	SMP00207	Prolidase Deficiency (PD)	
DB00128	SMP00188	Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	
DB00128	SMP00494	Tyrosinemia, transient, of the newborn	
DB00128	SMP00506	Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]	
DB00128	SMP00385	Homocarnosinosis	
DB00128	SMP00169	Alkaptonuria	
DB00128	SMP00507	L-arginine:glycine amidinotransferase deficiency	
DB00128	SMP00020	Arginine and Proline Metabolism	
DB00128	SMP00362	Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)	
DB00128	SMP00363	Ornithine Aminotransferase Deficiency (OAT Deficiency)	
DB00128	SMP00006	Tyrosine Metabolism	
DB00128	SMP00072	Glutamate Metabolism	
DB00128	SMP00339	Hyperinsulinism-Hyperammonemia Syndrome	
DB00128	SMP00136	2-Hydroxyglutric Aciduria (D And L Form)	
DB00128	SMP00533	Monoamine oxidase-a deficiency (MAO-A)	
DB00128	SMP00360	Hyperprolinemia Type II	
DB00128	SMP00190	Hawkinsinuria	
DB00128	SMP00203	Molybdenum Cofactor Deficiency	
DB00128	SMP00210	Purine Nucleoside Phosphorylase Deficiency	
DB00128	SMP00536	Mitochondrial DNA depletion syndrome	
DB00128	SMP00144	Adenosine Deaminase Deficiency	
DB00128	SMP00168	AICA-Ribosiduria	
DB00128	SMP00430	Thioguanine Action Pathway	
DB00128	SMP00429	Disulfiram Action Pathway	
DB00128	SMP00537	Myoadenylate deaminase deficiency	
DB00128	SMP00050	Purine Metabolism	
DB00128	SMP00167	Adenylosuccinate Lyase Deficiency	
DB00128	SMP00427	Azathioprine Action Pathway	
DB00128	SMP00428	Mercaptopurine Action Pathway	
DB00128	SMP00512	Xanthinuria type I	
DB00128	SMP00365	Gout or Kelley-Seegmiller Syndrome	
DB00128	SMP00513	Xanthinuria type II	
DB00128	SMP00535	Adenine phosphoribosyltransferase deficiency (APRT)	
DB00128	SMP00364	Lesch-Nyhan Syndrome (LNS)	
DB00128	SMP00220	Xanthine Dehydrogenase Deficiency (Xanthinuria)	
DB00129	SMP00445	Spermidine and Spermine Biosynthesis	
DB00129	SMP00059	Urea Cycle	
DB00129	SMP00205	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	
DB00129	SMP00357	Argininemia	
DB00129	SMP00001	Citrullinemia Type I	
DB00129	SMP00003	Argininosuccinic Aciduria	
DB00129	SMP00002	Carbamoyl Phosphate Synthetase Deficiency	
DB00129	SMP00361	Hyperprolinemia Type I	
DB00129	SMP00504	Creatine deficiency, guanidinoacetate methyltransferase deficiency	
DB00129	SMP00360	Hyperprolinemia Type II	
DB00129	SMP00208	Prolinemia Type II	
DB00129	SMP00505	Hyperornithinemia with gyrate atrophy (HOGA)	
DB00129	SMP00507	L-arginine:glycine amidinotransferase deficiency	
DB00129	SMP00020	Arginine and Proline Metabolism	
DB00129	SMP00362	Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)	
DB00129	SMP00363	Ornithine Aminotransferase Deficiency (OAT Deficiency)	
DB00129	SMP00207	Prolidase Deficiency (PD)	
DB00129	SMP00188	Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	
DB00129	SMP00506	Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]	
DB00130	SMP00126	Phenylacetate Metabolism	
DB00130	SMP00048	Nicotinate and Nicotinamide Metabolism	
DB00130	SMP00390	Tay-Sachs Disease	
DB00130	SMP00217	Sialuria or French Type Sialuria	
DB00130	SMP00534	G(M2)-Gangliosidosis: Variant B, Tay-sachs disease	
DB00130	SMP00045	Amino Sugar Metabolism	
DB00130	SMP00216	Sialuria or French Type Sialuria	
DB00130	SMP00609	Mercaptopurine Metabolism Pathway	
DB00130	SMP00240	Salla Disease/Infantile Sialic Acid Storage Disease	
DB00130	SMP00175	Canavan Disease	
DB00130	SMP00192	Hypoacetylaspartia	
DB00130	SMP00357	Argininemia	
DB00130	SMP00001	Citrullinemia Type I	
DB00130	SMP00654	Warburg Effect	
DB00130	SMP00067	Aspartate Metabolism	
DB00130	SMP00003	Argininosuccinic Aciduria	
DB00130	SMP00002	Carbamoyl Phosphate Synthetase Deficiency	
DB00130	SMP00009	Ammonia Recycling	
DB00130	SMP00059	Urea Cycle	
DB00130	SMP00205	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	
DB00130	SMP00172	Beta Ureidopropionase Deficiency	
DB00130	SMP00567	Succinic semialdehyde dehydrogenase deficiency	
DB00130	SMP00219	UMP Synthase Deiciency (Orotic Aciduria)	
DB00130	SMP00202	MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)	
DB00130	SMP00243	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	
DB00130	SMP00072	Glutamate Metabolism	
DB00130	SMP00339	Hyperinsulinism-Hyperammonemia Syndrome	
DB00130	SMP00136	2-Hydroxyglutric Aciduria (D And L Form)	
DB00130	SMP00046	Pyrimidine Metabolism	
DB00130	SMP00178	Dihydropyrimidinase Deficiency	
DB00130	SMP00385	Homocarnosinosis	
DB00130	SMP00203	Molybdenum Cofactor Deficiency	
DB00130	SMP00210	Purine Nucleoside Phosphorylase Deficiency	
DB00130	SMP00536	Mitochondrial DNA depletion syndrome	
DB00130	SMP00144	Adenosine Deaminase Deficiency	
DB00130	SMP00168	AICA-Ribosiduria	
DB00130	SMP00430	Thioguanine Action Pathway	
DB00130	SMP00537	Myoadenylate deaminase deficiency	
DB00130	SMP00428	Mercaptopurine Action Pathway	
DB00130	SMP00512	Xanthinuria type I	
DB00130	SMP00365	Gout or Kelley-Seegmiller Syndrome	
DB00130	SMP00513	Xanthinuria type II	
DB00130	SMP00535	Adenine phosphoribosyltransferase deficiency (APRT)	
DB00130	SMP00364	Lesch-Nyhan Syndrome (LNS)	
DB00130	SMP00220	Xanthine Dehydrogenase Deficiency (Xanthinuria)	
DB00130	SMP00050	Purine Metabolism	
DB00130	SMP00167	Adenylosuccinate Lyase Deficiency	
DB00130	SMP00427	Azathioprine Action Pathway	
DB00131	SMP00076	Thiamine Metabolism	
DB00131	SMP00737	Abacavir Action Pathway	
DB00131	SMP00742	Lamivudine  Action Pathway	
DB00131	SMP00744	Rilpivirine Action Pathway	
DB00131	SMP00740	Efavirenz Action Pathway	
DB00131	SMP00747	Zidovudine Action Pathway	
DB00131	SMP00741	Emtricitabine Action Pathway	
DB00131	SMP00743	Nevirapine  Action Pathway	
DB00131	SMP00738	Delavirdine Action Pathway	
DB00131	SMP00745	Stavudine Action Pathway	
DB00131	SMP00746	Zalcitabine Action Pathway	
DB00131	SMP00480	Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids	
DB00131	SMP00568	Short-chain 3-hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)	
DB00131	SMP00126	Phenylacetate Metabolism	
DB00131	SMP00739	Didanosine Action Pathway	
DB00131	SMP00481	Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids	
DB00131	SMP00181	Ethylmalonic Encephalopathy	
DB00131	SMP00541	Carnitine palmitoyl transferase deficiency (II)	
DB00131	SMP00031	Pentose Phosphate Pathway	
DB00131	SMP00482	Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids	
DB00131	SMP00539	Long chain acyl-CoA dehydrogenase deficiency (LCAD)	
DB00131	SMP00635	Valproic Acid Metabolism Pathway	
DB00131	SMP00519	Ribose-5-phosphate isomerase deficiency	
DB00131	SMP00027	Pantothenate and CoA Biosynthesis	
DB00131	SMP00185	Glutaric Aciduria Type I	
DB00131	SMP00542	Medium chain acyl-coa dehydrogenase deficiency (MCAD)	
DB00131	SMP00540	Very-long-chain acyl coa dehydrogenase deficiency (VLCAD)	
DB00131	SMP00051	Fatty acid Metabolism	
DB00131	SMP00070	Riboflavin Metabolism	
DB00131	SMP00520	Transaldolase deficiency	
DB00131	SMP00029	Selenoamino Acid Metabolism	
DB00131	SMP00073	Butyrate Metabolism	
DB00131	SMP00449	Ethanol Degradation	
DB00131	SMP00235	Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency)	
DB00131	SMP00538	Carnitine palmitoyl transferase deficiency (I)	
DB00131	SMP00545	Trifunctional protein deficiency	
DB00131	SMP00518	Glucose-6-phosphate dehydrogenase deficiency	
DB00131	SMP00044	Histidine Metabolism	
DB00131	SMP00191	Histidinemia	
DB00131	SMP00016	Propanoate Metabolism	
DB00131	SMP00048	Nicotinate and Nicotinamide Metabolism	
DB00131	SMP00198	Malonic Aciduria	
DB00131	SMP00502	Malonyl-coa decarboxylase deficiency	
DB00131	SMP00722	Cystinosis, ocular nonnephropathic	
DB00131	SMP00350	Pyruvate Carboxylase Deficiency	
DB00131	SMP00055	Alanine Metabolism	
DB00131	SMP00013	Cysteine Metabolism	
DB00131	SMP00313	Lactic Acidemia	
DB00131	SMP00201	Methylmalonic Aciduria Due to Cobalamin-Related Disorders	
DB00131	SMP00352	Primary Hyperoxaluria Type I	
DB00131	SMP00499	Beta-mercaptolactate-cysteine disulfiduria	
DB00131	SMP00609	Mercaptopurine Metabolism Pathway	
DB00131	SMP00175	Canavan Disease	
DB00131	SMP00369	Tyrosinemia Type 2 (or Richner-Hanhart syndrome)	
DB00131	SMP00262	Clomocycline Action Pathway	
DB00131	SMP00248	Clarithromycin Action Pathway	
DB00131	SMP00255	Kanamycin Action Pathway	
DB00131	SMP00290	Demeclocycline Action Pathway	
DB00131	SMP00292	Minocycline Action Pathway	
DB00131	SMP00730	Troleandomycin Action Pathway	
DB00131	SMP00192	Hypoacetylaspartia	
DB00131	SMP00206	Phenylketonuria	
DB00131	SMP00370	Tyrosinemia Type 3 (TYRO3)	
DB00131	SMP00357	Argininemia	
DB00131	SMP00249	Clindamycin Action Pathway	
DB00131	SMP00256	Neomycin Action Pathway	
DB00131	SMP00291	Doxycycline Action Pathway	
DB00131	SMP00293	Oxytetracycline Action Pathway	
DB00131	SMP00711	Tobramycin Action Pathway	
DB00131	SMP00713	Arbekacin Action Pathway	
DB00131	SMP00726	Rolitetracycline Action Pathway	
DB00131	SMP00731	Josamycin Action Pathway	
DB00131	SMP00001	Citrullinemia Type I	
DB00131	SMP00251	Roxithromycin Action Pathway	
DB00131	SMP00253	Amikacin Action Pathway	
DB00131	SMP00258	Spectinomycin Action Pathway	
DB00131	SMP00295	Lymecycline Action Pathway	
DB00131	SMP00558	Primary hyperoxaluria II, PH2	
DB00131	SMP00728	Lincomycin Action Pathway	
DB00131	SMP00334	Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency)	
DB00131	SMP00067	Aspartate Metabolism	
DB00131	SMP00196	Leigh Syndrome	
DB00131	SMP00003	Argininosuccinic Aciduria	
DB00131	SMP00002	Carbamoyl Phosphate Synthetase Deficiency	
DB00131	SMP00250	Erythromycin Action Pathway	
DB00131	SMP00252	Telithromycin Action Pathway	
DB00131	SMP00257	Netilmicin Action Pathway	
DB00131	SMP00294	Tetracycline Action Pathway	
DB00131	SMP00712	Tigecycline Action Pathway	
DB00131	SMP00714	Paromomycin Action Pathway	
DB00131	SMP00727	Methacycline Action Pathway	
DB00131	SMP00247	Azithromycin Action Pathway	
DB00131	SMP00254	Gentamicin Action Pathway	
DB00131	SMP00259	Streptomycin Action Pathway	
DB00131	SMP00559	Pyruvate kinase deficiency	
DB00131	SMP00729	Chloramphenicol Action Pathway	
DB00131	SMP00009	Ammonia Recycling	
DB00131	SMP00008	Phenylalanine and Tyrosine Metabolism	
DB00131	SMP00060	Pyruvate Metabolism	
DB00131	SMP00212	Pyruvate Dehydrogenase Complex Deficiency	
DB00131	SMP00059	Urea Cycle	
DB00131	SMP00205	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	
DB00131	SMP00361	Hyperprolinemia Type I	
DB00131	SMP00341	Hypermethioninemia	
DB00131	SMP00504	Creatine deficiency, guanidinoacetate methyltransferase deficiency	
DB00131	SMP00567	Succinic semialdehyde dehydrogenase deficiency	
DB00131	SMP00033	Methionine Metabolism	
DB00131	SMP00208	Prolinemia Type II	
DB00131	SMP00214	S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	
DB00131	SMP00505	Hyperornithinemia with gyrate atrophy (HOGA)	
DB00131	SMP00243	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	
DB00131	SMP00507	L-arginine:glycine amidinotransferase deficiency	
DB00131	SMP00570	Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type	
DB00131	SMP00020	Arginine and Proline Metabolism	
DB00131	SMP00362	Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)	
DB00131	SMP00363	Ornithine Aminotransferase Deficiency (OAT Deficiency)	
DB00131	SMP00340	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB00131	SMP00072	Glutamate Metabolism	
DB00131	SMP00339	Hyperinsulinism-Hyperammonemia Syndrome	
DB00131	SMP00136	2-Hydroxyglutric Aciduria (D And L Form)	
DB00131	SMP00207	Prolidase Deficiency (PD)	
DB00131	SMP00188	Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	
DB00131	SMP00222	Glycine N-methyltransferase Deficiency	
DB00131	SMP00506	Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]	
DB00131	SMP00385	Homocarnosinosis	
DB00131	SMP00360	Hyperprolinemia Type II	
DB00131	SMP00177	Cystathionine Beta-Synthase Deficiency	
DB00131	SMP00221	Methionine Adenosyltransferase Deficiency	
DB00131	SMP00203	Molybdenum Cofactor Deficiency	
DB00131	SMP00210	Purine Nucleoside Phosphorylase Deficiency	
DB00131	SMP00244	Sarcosinemia	
DB00131	SMP00485	Hyperglycinemia, non-ketotic	
DB00131	SMP00536	Mitochondrial DNA depletion syndrome	
DB00131	SMP00144	Adenosine Deaminase Deficiency	
DB00131	SMP00168	AICA-Ribosiduria	
DB00131	SMP00004	Glycine and Serine Metabolism	
DB00131	SMP00430	Thioguanine Action Pathway	
DB00131	SMP00429	Disulfiram Action Pathway	
DB00131	SMP00537	Myoadenylate deaminase deficiency	
DB00131	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB00131	SMP00428	Mercaptopurine Action Pathway	
DB00131	SMP00512	Xanthinuria type I	
DB00131	SMP00365	Gout or Kelley-Seegmiller Syndrome	
DB00131	SMP00050	Purine Metabolism	
DB00131	SMP00167	Adenylosuccinate Lyase Deficiency	
DB00131	SMP00223	Non Ketotic Hyperglycinemia	
DB00131	SMP00427	Azathioprine Action Pathway	
DB00131	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB00131	SMP00513	Xanthinuria type II	
DB00131	SMP00535	Adenine phosphoribosyltransferase deficiency (APRT)	
DB00131	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB00131	SMP00364	Lesch-Nyhan Syndrome (LNS)	
DB00131	SMP00220	Xanthine Dehydrogenase Deficiency (Xanthinuria)	
DB00131	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB00132	SMP00018	Alpha Linolenic Acid and Linoleic Acid Metabolism	
DB00133	SMP00514	Gamma-cystathionase deficiency (CTH)	
DB00133	SMP00455	Homocysteine Degradation	
DB00133	SMP00515	Homocystinuria, cystathionine beta-synthase deficiency	
DB00133	SMP00348	Globoid Cell Leukodystrophy	
DB00133	SMP00029	Selenoamino Acid Metabolism	
DB00133	SMP00526	Krabbe disease	
DB00133	SMP00347	Metachromatic Leukodystrophy (MLD)	
DB00133	SMP00525	Fabry disease	
DB00133	SMP00034	Sphingolipid Metabolism	
DB00133	SMP00349	Gaucher Disease	
DB00133	SMP00009	Ammonia Recycling	
DB00133	SMP00341	Hypermethioninemia	
DB00133	SMP00222	Glycine N-methyltransferase Deficiency	
DB00133	SMP00033	Methionine Metabolism	
DB00133	SMP00214	S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	
DB00133	SMP00570	Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type	
DB00133	SMP00340	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB00133	SMP00177	Cystathionine Beta-Synthase Deficiency	
DB00133	SMP00221	Methionine Adenosyltransferase Deficiency	
DB00133	SMP00244	Sarcosinemia	
DB00133	SMP00485	Hyperglycinemia, non-ketotic	
DB00133	SMP00004	Glycine and Serine Metabolism	
DB00133	SMP00223	Non Ketotic Hyperglycinemia	
DB00133	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB00133	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB00133	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB00133	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB00134	SMP00123	Betaine Metabolism	
DB00134	SMP00445	Spermidine and Spermine Biosynthesis	
DB00134	SMP00262	Clomocycline Action Pathway	
DB00134	SMP00248	Clarithromycin Action Pathway	
DB00134	SMP00255	Kanamycin Action Pathway	
DB00134	SMP00290	Demeclocycline Action Pathway	
DB00134	SMP00292	Minocycline Action Pathway	
DB00134	SMP00730	Troleandomycin Action Pathway	
DB00134	SMP00251	Roxithromycin Action Pathway	
DB00134	SMP00253	Amikacin Action Pathway	
DB00134	SMP00258	Spectinomycin Action Pathway	
DB00134	SMP00295	Lymecycline Action Pathway	
DB00134	SMP00728	Lincomycin Action Pathway	
DB00134	SMP00250	Erythromycin Action Pathway	
DB00134	SMP00252	Telithromycin Action Pathway	
DB00134	SMP00257	Netilmicin Action Pathway	
DB00134	SMP00294	Tetracycline Action Pathway	
DB00134	SMP00712	Tigecycline Action Pathway	
DB00134	SMP00714	Paromomycin Action Pathway	
DB00134	SMP00727	Methacycline Action Pathway	
DB00134	SMP00249	Clindamycin Action Pathway	
DB00134	SMP00256	Neomycin Action Pathway	
DB00134	SMP00291	Doxycycline Action Pathway	
DB00134	SMP00293	Oxytetracycline Action Pathway	
DB00134	SMP00711	Tobramycin Action Pathway	
DB00134	SMP00713	Arbekacin Action Pathway	
DB00134	SMP00726	Rolitetracycline Action Pathway	
DB00134	SMP00731	Josamycin Action Pathway	
DB00134	SMP00247	Azithromycin Action Pathway	
DB00134	SMP00254	Gentamicin Action Pathway	
DB00134	SMP00259	Streptomycin Action Pathway	
DB00134	SMP00729	Chloramphenicol Action Pathway	
DB00134	SMP00341	Hypermethioninemia	
DB00134	SMP00570	Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type	
DB00134	SMP00340	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB00134	SMP00033	Methionine Metabolism	
DB00134	SMP00214	S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	
DB00134	SMP00222	Glycine N-methyltransferase Deficiency	
DB00134	SMP00177	Cystathionine Beta-Synthase Deficiency	
DB00134	SMP00221	Methionine Adenosyltransferase Deficiency	
DB00134	SMP00244	Sarcosinemia	
DB00134	SMP00485	Hyperglycinemia, non-ketotic	
DB00134	SMP00004	Glycine and Serine Metabolism	
DB00134	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB00134	SMP00223	Non Ketotic Hyperglycinemia	
DB00134	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB00134	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB00134	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB00135	SMP00170	Aromatic L-Aminoacid Decarboxylase Deficiency	
DB00135	SMP00012	Catecholamine Biosynthesis	
DB00135	SMP00497	Tyrosine hydroxylase deficiency	
DB00135	SMP00716	Thyroid hormone synthesis	
DB00135	SMP00369	Tyrosinemia Type 2 (or Richner-Hanhart syndrome)	
DB00135	SMP00206	Phenylketonuria	
DB00135	SMP00370	Tyrosinemia Type 3 (TYRO3)	
DB00135	SMP00008	Phenylalanine and Tyrosine Metabolism	
DB00135	SMP00218	Tyrosinemia Type I	
DB00135	SMP00494	Tyrosinemia, transient, of the newborn	
DB00135	SMP00169	Alkaptonuria	
DB00135	SMP00006	Tyrosine Metabolism	
DB00135	SMP00498	Dopamine beta-hydroxylase deficiency	
DB00135	SMP00533	Monoamine oxidase-a deficiency (MAO-A)	
DB00135	SMP00190	Hawkinsinuria	
DB00135	SMP00429	Disulfiram Action Pathway	
DB00139	SMP00071	Ketone Body Metabolism	
DB00139	SMP00569	Succinyl CoA: 3-ketoacid CoA transferase deficiency	
DB00139	SMP00547	Fumarase deficiency	
DB00139	SMP00465	Carnitine Synthesis	
DB00139	SMP00030	Oxidation of Branched Chain Fatty Acids	
DB00139	SMP00057	Citric Acid Cycle	
DB00139	SMP00548	Mitochondrial complex II deficiency	
DB00139	SMP00549	2-ketoglutarate dehydrogenase complex deficiency	
DB00139	SMP00073	Butyrate Metabolism	
DB00139	SMP00451	Refsum Disease	
DB00139	SMP00355	Mitochondrial Electron Transport Chain	
DB00139	SMP00550	Pyruvate dehydrogenase deficiency (E3)	
DB00139	SMP00546	Congenital lactic acidosis	
DB00139	SMP00551	Pyruvate dehydrogenase deficiency (E2)	
DB00139	SMP00450	Phytanic Acid Peroxisomal Oxidation	
DB00139	SMP00137	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	
DB00139	SMP00139	3-Methylglutaconic Aciduria Type I	
DB00139	SMP00236	Propionic Acidemia	
DB00139	SMP00140	3-Methylglutaconic Aciduria Type III	
DB00139	SMP00141	3-Methylglutaconic Aciduria Type IV	
DB00139	SMP00521	3-hydroxyisobutyric acid dehydrogenase deficiency	
DB00139	SMP00524	Isovaleric acidemia	
DB00139	SMP00032	Valine, Leucine and Isoleucine Degradation	
DB00139	SMP00138	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	
DB00139	SMP00384	Methylmalonate Semialdehyde Dehydrogenase Deficiency	
DB00139	SMP00522	3-hydroxyisobutyric aciduria	
DB00139	SMP00199	Maple Syrup Urine Disease	
DB00139	SMP00200	Methylmalonic Aciduria	
DB00139	SMP00523	Isobutyryl-coa dehydrogenase deficiency	
DB00139	SMP00173	Beta-Ketothiolase Deficiency	
DB00139	SMP00237	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	
DB00139	SMP00238	Isovaleric Aciduria	
DB00139	SMP00654	Warburg Effect	
DB00139	SMP00361	Hyperprolinemia Type I	
DB00139	SMP00504	Creatine deficiency, guanidinoacetate methyltransferase deficiency	
DB00139	SMP00567	Succinic semialdehyde dehydrogenase deficiency	
DB00139	SMP00208	Prolinemia Type II	
DB00139	SMP00505	Hyperornithinemia with gyrate atrophy (HOGA)	
DB00139	SMP00243	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	
